state,district,per_affluent,per_middleincome,per_poor
maharashtra ,amravati ,39.2,52.15,8.64
maharashtra ,aurangabad ,32.11,64.49,3.4
maharashtra ,bhandara ,31.74,62.78,5.48
maharashtra ,bid ,17.29,76.67,6.03
maharashtra ,buldana ,21.62,73.22,5.16
maharashtra ,chandrapur ,36.42,51.62,11.95
maharashtra ,dhule ,20.6,65.25,14.15
maharashtra ,gadchiroli ,16.87,69.9,13.23
maharashtra ,gondiya ,17.92,73.72,8.36
maharashtra ,hingoli ,21.11,66.71,12.18
maharashtra ,jalgaon ,29.46,63.8,6.74
maharashtra ,jalna ,15.76,75.18,9.06
maharashtra ,kolhapur ,24.56,72.37,3.07
maharashtra ,latur ,16.57,78.66,4.77
maharashtra ,mumbai ,45.93,53.87,0.2
maharashtra ,mumbai suburban ,27.83,72.17,0
maharashtra ,nagpur ,54.84,43.22,1.93
maharashtra ,nanded ,21.61,69.9,8.49
maharashtra ,nandurbar ,13.18,53.97,32.85
maharashtra ,nashik ,33.19,61.81,5
maharashtra ,osmanabad ,16.01,76.35,7.64
maharashtra ,parbhani ,24.06,70.77,5.16
maharashtra ,pune ,49.69,48.99,1.32
maharashtra ,raigarh ,46.04,51.18,2.78
maharashtra ,ratnagiri ,21.37,72.44,6.19
maharashtra ,sangli ,27.3,66.81,5.89
maharashtra ,satara ,27.28,68.37,4.35
maharashtra ,sindhudurg ,19.82,75.79,4.38
maharashtra ,solapur ,27.02,69.06,3.93
maharashtra ,thane ,43.88,51.38,4.74
maharashtra ,wardha ,39.02,57.09,3.88
maharashtra ,washim ,24.84,69.49,5.67
maharashtra ,yavatmal ,23.65,67.41,8.93
manipur ,bishnupur ,11.25,84.8,3.95
manipur ,chandel ,9.68,83.93,6.39
manipur ,churachandpur ,15.11,72.38,12.51
manipur ,imphal east ,22.11,74.39,3.5
manipur ,imphal west ,29.35,68.69,1.95
manipur ,senapati (excludin ,5.23,86.14,8.63
manipur ,tamenglong ,3.89,77.69,18.42
manipur ,thoubal ,10.36,78.99,10.65
manipur ,ukhrul ,1.78,75.42,22.8
meghalaya ,east garo hills ,4.64,72.1,23.26
meghalaya ,east khasi hills ,11.88,82.72,5.4
meghalaya ,jaintia hills ,8.68,79.2,12.12
meghalaya ,ribhoi ,3.5,80.72,15.78
meghalaya ,south garo hills ,21.53,77.14,1.33
meghalaya ,west garo hills ,9.48,77.8,12.72
meghalaya ,west khasi hills ,1.47,86.18,12.35
mizoram ,aizawl ,64.94,34.86,0.2
mizoram ,champhai ,37.9,59.76,2.34
mizoram ,kolasib ,44.99,51.41,3.6
mizoram ,lawngtlai ,19.28,52.7,28.02
mizoram ,lunglei ,36.3,59.69,4.01
mizoram ,mamit ,22.78,58.77,18.45
mizoram ,saiha ,26.96,68.62,4.42
mizoram ,serchhip ,49.11,49.2,1.69
nagaland ,dimapur ,26.46,70.86,2.67
nagaland ,kiphire ,3.49,89.23,7.27
nagaland ,kohima ,25.32,72.4,2.28
nagaland ,longleng ,1.42,89.56,9.02
nagaland ,mokokchung ,23.75,74.1,2.15
nagaland ,mon ,3.51,76.93,19.55
nagaland ,peren ,7.13,85.46,7.41
nagaland ,phek ,2.08,90.34,7.58
nagaland ,tuensang ,3.63,86.54,9.82
nagaland ,wokha ,13.11,81.54,5.35
nagaland ,zunheboto ,3.06,91.36,5.58
odisha ,anugul ,18.15,65.69,16.16
odisha ,balangir ,10.48,69.52,20.01
odisha ,baleshwar ,9.89,76.47,13.64
odisha ,bargarh ,14.02,67.04,18.94
odisha ,baudh ,10.08,67.75,22.18
odisha ,bhadrak ,7.71,78.31,13.97
odisha ,cuttack ,18.73,73.98,7.29
odisha ,debagarh ,8.97,60.73,30.29
odisha ,dhenkanal ,14.52,68.02,17.46
odisha ,gajapati ,4.08,76.7,19.22
odisha ,ganjam ,14.97,74.98,10.05
odisha ,jagatsinghapur ,7.78,85.15,7.07
